Index,Lokacija,Tijelo samouprave,Godina,Vrsta,Klasifikacija,Razred,Razred opis,Skupina,Skupina opis,Podskupina,Podskupina opis,Iznos
8165,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,049,Ekonomski poslovi koji nisu drugdje svrstani,,,0
8166,Primorsko-goranska,županija,2003,rashod,funkcijska,05,Zaštita okoliša,051,Gospodarenje otpadom,,,4600000
8167,Primorsko-goranska,županija,2003,rashod,funkcijska,05,Zaštita okoliša,052,Gospodarenje otpadnim vodama,,,1300000
8168,Primorsko-goranska,županija,2003,rashod,funkcijska,05,Zaštita okoliša,053,Smanjenje zagađivanja,,,0
8169,Primorsko-goranska,županija,2003,rashod,funkcijska,05,Zaštita okoliša,054,Zaštita bioraznolikosti i krajolika,,,1943910
8170,Primorsko-goranska,županija,2003,rashod,funkcijska,05,Zaštita okoliša,055,Istraživanje i razvoj: Zaštita okoliša,,,774599
8171,Primorsko-goranska,županija,2003,rashod,funkcijska,05,Zaštita okoliša,056,Poslovi i usluge zaštite okoliša koji nisu drugdje svrstani,,,201888
8172,Primorsko-goranska,županija,2003,rashod,funkcijska,06,Usluge unapređenja stanovanja i zajednice,061,Razvoj stanovanja,,,0
8173,Primorsko-goranska,županija,2003,rashod,funkcijska,06,Usluge unapređenja stanovanja i zajednice,062,Razvoj zajednice,,,1983045
8174,Primorsko-goranska,županija,2003,rashod,funkcijska,06,Usluge unapređenja stanovanja i zajednice,063,Opskrba vodom,,,2276559
8175,Primorsko-goranska,županija,2003,rashod,funkcijska,06,Usluge unapređenja stanovanja i zajednice,064,Ulična rasvjeta,,,0
8176,Primorsko-goranska,županija,2003,rashod,funkcijska,06,Usluge unapređenja stanovanja i zajednice,065,Istraživanje i razvoj stanovanja i komunalnih pogodnosti,,,266050
8177,Primorsko-goranska,županija,2003,rashod,funkcijska,06,Usluge unapređenja stanovanja i zajednice,066,Rashodi vezani za stanovanje i kom pogodnosti koji nisu drugdje svrstani,,,2500000
8178,Primorsko-goranska,županija,2003,rashod,funkcijska,07,Zdravstvo,071,"Medicinski proizvodi, pribor i oprema",0711,Farmaceutski proizvodi,0
